titles,urls,ratings,n_favs,genres,authors
Berserk,https://myanimelist.net/manga/2/Berserk,9.47,117055.0,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Miura, Kentarou', 'Studio Gaga']"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,9.3,40868.0,"['Action', 'Adventure', 'Mystery', 'Supernatural']","['Araki, Hirohiko']"
Vagabond,https://myanimelist.net/manga/656/Vagabond,9.23,36611.0,"['Action', 'Adventure', 'Award Winning']","['Inoue, Takehiko', 'Yoshikawa, Eiji']"
One Piece,https://myanimelist.net/manga/13/One_Piece,9.21,109530.0,"['Action', 'Adventure', 'Fantasy']","['Oda, Eiichiro']"
Monster,https://myanimelist.net/manga/1/Monster,9.15,19435.0,"['Award Winning', 'Drama', 'Mystery']","['Urasawa, Naoki']"
Slam Dunk,https://myanimelist.net/manga/51/Slam_Dunk,9.07,14534.0,"['Award Winning', 'Sports']","['Inoue, Takehiko']"
Fullmetal Alchemist,https://myanimelist.net/manga/25/Fullmetal_Alchemist,9.04,29466.0,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']","['Arakawa, Hiromu']"
Vinland Saga,https://myanimelist.net/manga/642/Vinland_Saga,9.04,29755.0,"['Action', 'Adventure', 'Award Winning', 'Drama']","['Yukimura, Makoto']"
Grand Blue,https://myanimelist.net/manga/70345/Grand_Blue,9.03,16559.0,[],"['Inoue, Kenji', 'Yoshioka, Kimitake']"
Oyasumi Punpun,https://myanimelist.net/manga/4632/Oyasumi_Punpun,9.02,48397.0,"['Drama', 'Slice of Life']","['Asano, Inio']"
Kingdom,https://myanimelist.net/manga/16765/Kingdom,9.0,14041.0,"['Action', 'Award Winning']","['Hara, Yasuhisa']"
Houseki no Kuni,https://myanimelist.net/manga/44489/Houseki_no_Kuni,8.96,12741.0,"['Action', 'Drama', 'Fantasy']","['Ichikawa, Haruko']"
